timestamp,market_title,search_query,response_length,response_preview
2025-11-27T07:59:41.005833,Will Leeds United win on 2025-12-03?,Will Leeds United win on 2025-12-03?,2190,"
## EPL Schedule
- Chelsea FC @ Leeds United on Wednesday, Dec 03, 2025 at 12:15 PM PST


Leeds United is set to face Chelsea at Elland Road on December 3, 2025, at 8:15 PM GMT. ([leedsunited.com](htt"
2025-11-27T07:59:47.109029,Will Volodymyr Zelenskyy rank in Google’s Top 5 Most Searched People of 2025?,Will Volodymyr Zelenskyy rank in Google’s Top 5 Most Searched People of 2025?,1406,"As of November 27, 2025, Volodymyr Zelenskyy is not among the top five most searched people on Google. According to recent data, he ranks 12th, with a 12% chance of entering the top five. ([polymarket"
2025-11-27T07:59:53.396002,Will Jeannette Jara win the Chilean presidential election?,Will Jeannette Jara win the Chilean presidential election?,2552,"Jeannette Jara, a member of Chile's Communist Party and former Minister of Labor, is currently in a runoff for the presidency against far-right candidate José Antonio Kast. In the first round of votin"
2025-11-27T08:03:14.425011,Spread: Lions (-2.5),Spread: Lions (-2.5),3890,"The Detroit Lions are set to face the Green Bay Packers today, Thursday, November 27, 2025, at 1:00 PM EST. The Lions are favored by 2.5 points in this NFC North matchup.

**Recent Developments:**

- "
2025-11-27T08:03:25.413424,Counter-Strike: NRG vs Imperial (BO3),Counter-Strike: NRG vs Imperial (BO3),3800,"NRG Esports and Imperial Esports are set to face off in a crucial best-of-three (BO3) match at the StarLadder Budapest Major 2025 Stage 1 on November 27, 2025, at 16:30 CET. This match is pivotal, as "
2025-11-27T08:03:32.321117,Will Morocco win the 2026 FIFA World Cup?,Will Morocco win the 2026 FIFA World Cup?,3532,"As of November 27, 2025, Morocco has demonstrated exceptional performance in international football, positioning itself as a strong contender for the 2026 FIFA World Cup.

**Recent Achievements:**

- "
2025-11-27T08:16:52.030756,Will Putin meet with Zelenskyy in 2025?,Will Putin meet with Zelenskyy in 2025?,2272,"As of November 27, 2025, there have been no official announcements or credible reports indicating that Russian President Vladimir Putin and Ukrainian President Volodymyr Zelenskyy will meet in 2025. T"
2025-11-27T08:16:59.102939,Will more people travel on Thanksgiving than last year?,Will more people travel on Thanksgiving than last year?,2830,Recent data indicates a significant increase in Thanksgiving travel for 2025 compared to the previous year. The American Automobile Association (AAA) projects that 81.8 million Americans will travel a
2025-11-27T08:17:08.525991,Will Feyenoord Rotterdam win on 2025-11-27?,Will Feyenoord Rotterdam win on 2025-11-27?,2384,"Feyenoord Rotterdam is set to face Celtic in a UEFA Europa League match today, November 27, 2025, at 5:45 PM local time at De Kuip stadium in Rotterdam. ([thescore.com](https://www.thescore.com/uefa/e"
2025-11-27T08:22:41.037138,Spurs vs. Nuggets,Spurs vs. Nuggets,3563,"The San Antonio Spurs and Denver Nuggets are set to face off on Friday, November 28, 2025, at 6:30 PM PST in an NBA Cup group stage matchup. 

**Recent Performances:**

- **San Antonio Spurs:** In the"
